time,asset,yes,no,event,pnl
03/26 15:13:13,SOL,0.945,0.055,holding,
03/26 15:13:15,BTC,0.255,0.745,holding,
03/26 15:13:15,ETH,0.295,0.705,holding,
03/26 15:13:15,SOL,0.945,0.055,holding,
03/26 15:13:17,BTC,0.265,0.735,holding,
03/26 15:13:18,ETH,0.295,0.705,holding,
03/26 15:13:18,SOL,0.945,0.055,holding,
03/26 15:13:20,BTC,0.255,0.755,holding,
03/26 15:13:20,ETH,0.295,0.705,holding,
03/26 15:13:20,SOL,0.945,0.055,holding,
03/26 15:13:22,BTC,0.245,0.755,holding,
03/26 15:13:23,ETH,0.285,0.715,holding,
03/26 15:13:23,SOL,0.945,0.055,holding,
03/26 15:13:25,BTC,0.255,0.745,holding,
03/26 15:13:25,ETH,0.28,0.72,holding,
03/26 15:13:25,SOL,0.945,0.055,holding,
03/26 15:13:27,BTC,0.25,0.75,holding,
03/26 15:13:27,ETH,0.275,0.725,holding,
03/26 15:13:27,SOL,0.945,0.055,holding,
03/26 15:13:30,BTC,0.25,0.755,holding,
03/26 15:13:30,ETH,0.275,0.725,holding,
03/26 15:13:30,SOL,0.945,0.055,holding,
03/26 15:13:32,BTC,0.275,0.735,holding,
03/26 15:13:32,ETH,0.275,0.725,holding,
03/26 15:13:32,SOL,0.945,0.055,holding,
03/26 15:13:35,BTC,0.38,0.625,holding,
03/26 15:13:35,ETH,0.275,0.725,holding,
03/26 15:13:35,SOL,0.945,0.055,holding,
03/26 15:13:37,BTC,0.4,0.6,holding,
03/26 15:13:37,ETH,0.29,0.71,holding,
03/26 15:13:37,SOL,0.955,0.045,holding,
03/26 15:13:39,BTC,0.4,0.6,holding,
03/26 15:13:39,ETH,0.345,0.655,holding,
03/26 15:13:40,SOL,0.955,0.045,holding,
03/26 15:13:42,BTC,0.43,0.57,holding,
03/26 15:13:42,ETH,0.395,0.605,holding,
03/26 15:13:42,SOL,0.955,0.045,holding,
03/26 15:13:44,BTC,0.455,0.55,holding,
03/26 15:13:44,ETH,0.425,0.575,holding,
03/26 15:13:45,SOL,0.96,0.04,holding,
03/26 15:13:47,BTC,0.365,0.635,holding,
03/26 15:13:47,ETH,0.355,0.645,holding,
03/26 15:13:47,SOL,0.965,0.035,holding,
03/26 15:13:49,BTC,0.305,0.695,holding,
03/26 15:13:49,ETH,0.2,0.805,holding,
03/26 15:13:49,SOL,0.94,0.06,holding,
03/26 15:13:52,BTC,0.29,0.71,holding,
03/26 15:13:52,ETH,0.295,0.705,holding,
03/26 15:13:52,SOL,0.965,0.035,holding,
03/26 15:13:54,BTC,0.285,0.715,holding,
03/26 15:13:55,ETH,0.285,0.715,holding,
03/26 15:13:55,SOL,0.965,0.035,holding,
03/26 15:13:57,BTC,0.285,0.715,holding,
03/26 15:13:57,ETH,0.275,0.725,holding,
03/26 15:13:57,SOL,0.965,0.035,holding,
03/26 15:13:59,BTC,0.275,0.725,holding,
03/26 15:13:59,ETH,0.255,0.745,holding,
03/26 15:14:00,SOL,0.97,0.03,holding,
03/26 15:14:02,BTC,0.235,0.765,holding,
03/26 15:14:02,ETH,0.155,0.845,holding,
03/26 15:14:02,SOL,0.955,0.045,holding,
03/26 15:14:05,BTC,0.205,0.795,holding,
03/26 15:14:05,ETH,0.145,0.855,holding,
03/26 15:14:05,SOL,0.965,0.035,holding,
03/26 15:14:07,BTC,0.185,0.815,holding,
03/26 15:14:07,ETH,0.095,0.905,holding,
03/26 15:14:07,SOL,0.965,0.035,holding,
