time,asset,yes,no,event,pnl
03/26 15:43:38,SOL,0.075,0.925,holding,
03/26 15:43:41,SOL,0.075,0.925,holding,
03/26 15:43:43,SOL,0.065,0.935,holding,
03/26 15:43:45,SOL,0.055,0.945,holding,
03/26 15:43:47,SOL,0.055,0.945,holding,
03/26 15:43:50,SOL,0.07,0.93,holding,
03/26 15:43:52,SOL,0.075,0.925,holding,
03/26 15:43:54,SOL,0.07,0.925,holding,
03/26 15:43:56,SOL,0.075,0.925,holding,
03/26 15:43:59,SOL,0.065,0.935,holding,
03/26 15:44:01,SOL,0.04,0.96,holding,
03/26 15:44:03,SOL,0.035,0.965,holding,
03/26 15:44:05,SOL,0.05,0.95,holding,
03/26 15:44:08,SOL,0.015,0.985,holding,
03/26 15:44:11,SOL,0.015,0.985,holding,
03/26 15:44:13,SOL,0.01,0.99,holding,
03/26 15:44:15,SOL,0.01,0.99,holding,
03/26 15:44:17,SOL,0.01,0.99,holding,
03/26 15:44:19,SOL,0.015,0.985,holding,
03/26 15:44:21,SOL,0.015,0.985,holding,
03/26 15:44:23,SOL,0.015,0.985,holding,
03/26 15:44:25,SOL,0.015,0.985,holding,
03/26 15:44:27,SOL,0.005,0.995,holding,
03/26 15:44:29,SOL,0.005,0.995,holding,
03/26 15:44:32,SOL,0.005,0.995,holding,
03/26 15:44:34,SOL,0.005,0.995,holding,
03/26 15:44:36,SOL,0.005,0.995,holding,
03/26 15:44:38,SOL,0.005,0.995,holding,
03/26 15:44:40,SOL,0.005,0.995,holding,
03/26 15:44:42,SOL,0.005,0.995,holding,
03/26 15:44:44,SOL,0.005,0.995,holding,
03/26 15:44:47,SOL,0.005,0.995,holding,
03/26 15:44:49,SOL,0.005,0.995,holding,
03/26 15:44:51,SOL,0.005,0.995,holding,
03/26 15:44:53,SOL,0.005,0.995,holding,
03/26 15:44:55,SOL,0.005,0.995,holding,
03/26 15:44:57,SOL,0.005,0.995,holding,
03/26 15:44:59,SOL,0.005,0.995,holding,
03/26 19:11:19,BTC,0.835,0.165,*** BUY YES @ 83.50% ***,
03/26 19:11:23,BTC,0.795,0.205,holding,
03/26 19:11:25,BTC,0.795,0.205,holding,
03/26 19:11:27,BTC,0.795,0.205,holding,
03/26 19:11:29,BTC,0.825,0.17,holding,
03/26 19:11:31,BTC,0.805,0.195,holding,
03/26 19:11:33,BTC,0.815,0.185,holding,
03/26 19:11:35,BTC,0.875,0.125,holding,
03/26 19:11:37,BTC,0.58,0.42,holding,
03/26 19:11:40,BTC,0.35,0.65,holding,
03/26 19:11:43,BTC,0.365,0.635,holding,
03/26 19:11:45,BTC,0.475,0.535,holding,
03/26 19:11:47,BTC,0.455,0.545,holding,
03/26 19:11:49,BTC,0.715,0.285,holding,
03/26 19:11:51,BTC,0.735,0.265,holding,
03/26 19:11:53,BTC,0.745,0.255,holding,
03/26 19:11:55,BTC,0.835,0.165,holding,
03/26 19:11:58,BTC,0.815,0.185,holding,
03/26 19:12:00,BTC,0.815,0.185,holding,
03/26 19:12:03,BTC,0.785,0.215,holding,
03/26 19:12:05,BTC,0.82,0.18,holding,
03/26 19:12:07,BTC,0.785,0.215,holding,
03/26 19:12:09,BTC,0.84,0.16,holding,
03/26 19:12:11,BTC,0.845,0.155,holding,
03/26 19:12:13,BTC,0.855,0.145,holding,
03/26 19:12:15,BTC,0.845,0.155,holding,
03/26 19:12:18,BTC,0.845,0.155,holding,
03/26 19:12:20,BTC,0.89,0.11,holding,
03/26 19:12:23,BTC,0.915,0.085,holding,
03/26 19:12:25,BTC,0.93,0.07,holding,
03/26 19:12:27,BTC,0.915,0.085,holding,
03/26 19:12:29,BTC,0.915,0.085,holding,
03/26 19:12:31,BTC,0.905,0.095,holding,
03/26 19:12:33,BTC,0.89,0.11,holding,
03/26 19:12:36,BTC,0.885,0.115,holding,
03/26 19:12:38,BTC,0.895,0.105,holding,
03/26 19:12:40,BTC,0.925,0.075,holding,
03/26 19:12:43,BTC,0.865,0.135,holding,
03/26 19:12:45,BTC,0.855,0.145,holding,
03/26 19:12:47,BTC,0.855,0.145,holding,
03/26 19:12:49,BTC,0.875,0.125,holding,
03/26 19:12:51,BTC,0.835,0.165,holding,
03/26 19:12:54,BTC,0.855,0.145,holding,
03/26 19:12:56,BTC,0.825,0.175,holding,
03/26 19:12:58,BTC,0.825,0.175,holding,
03/26 19:13:00,BTC,0.785,0.215,holding,
03/26 19:13:03,BTC,0.795,0.205,holding,
03/26 19:13:05,BTC,0.79,0.21,holding,
03/26 19:13:07,BTC,0.785,0.215,holding,
03/26 19:13:09,BTC,0.765,0.235,holding,
03/26 19:13:11,BTC,0.785,0.215,holding,
03/26 19:13:13,BTC,0.885,0.115,holding,
03/26 19:13:16,BTC,0.885,0.115,holding,
03/26 19:13:18,BTC,0.85,0.15,holding,
03/26 19:13:20,BTC,0.875,0.13,holding,
03/26 19:13:22,BTC,0.895,0.105,holding,
03/26 19:13:24,BTC,0.87,0.13,holding,
03/26 19:13:27,BTC,0.875,0.125,holding,
03/26 19:13:29,BTC,0.875,0.125,holding,
03/26 19:13:31,BTC,0.835,0.165,holding,
03/26 19:13:33,BTC,0.875,0.125,holding,
03/26 19:13:35,BTC,0.915,0.085,holding,
03/26 19:13:37,BTC,0.935,0.06,holding,
03/26 19:13:39,BTC,0.945,0.055,holding,
03/26 19:13:42,BTC,0.935,0.065,holding,
03/26 19:13:44,BTC,0.955,0.045,holding,
03/26 19:13:46,BTC,0.945,0.055,holding,
03/26 19:13:48,BTC,0.945,0.055,holding,
03/26 19:13:50,BTC,0.945,0.055,holding,
03/26 19:13:53,BTC,0.945,0.055,holding,
03/26 19:13:55,BTC,0.945,0.055,holding,
03/26 19:13:57,BTC,0.96,0.04,holding,
03/26 19:13:59,BTC,0.965,0.035,holding,
03/26 19:14:01,BTC,0.975,0.025,holding,
03/26 19:14:01,BTC,0.975,0.025,*** SELL YES @ 97.50% ***,
03/26 19:14:05,BTC,0.975,0.025,holding,
03/26 19:14:07,BTC,0.975,0.025,holding,
03/26 19:14:09,BTC,0.975,0.025,holding,
03/26 19:14:11,BTC,0.975,0.025,holding,
03/26 19:14:13,BTC,0.975,0.025,holding,
03/26 19:14:15,BTC,0.975,0.025,holding,
03/26 19:14:17,BTC,0.945,0.055,holding,
03/26 19:14:19,BTC,0.975,0.025,holding,
03/26 19:14:21,BTC,0.965,0.035,holding,
03/26 19:14:23,BTC,0.975,0.025,holding,
03/26 19:14:26,BTC,0.975,0.025,holding,
03/26 19:14:28,BTC,0.975,0.025,holding,
03/26 19:14:30,BTC,0.975,0.025,holding,
03/26 19:14:33,BTC,0.975,0.025,holding,
03/26 19:14:35,BTC,0.985,0.015,holding,
03/26 19:14:37,BTC,0.985,0.015,holding,
03/26 19:14:39,BTC,0.985,0.015,holding,
03/26 19:14:41,BTC,0.985,0.015,holding,
03/26 19:14:43,BTC,0.985,0.015,holding,
03/26 19:14:45,BTC,0.985,0.015,holding,
03/26 19:14:47,BTC,0.985,0.015,holding,
03/26 19:14:49,BTC,0.975,0.025,holding,
03/26 19:14:51,BTC,0.975,0.025,holding,
03/26 19:14:53,BTC,0.995,0.005,holding,
03/26 19:14:55,BTC,0.995,0.005,holding,
03/26 19:14:57,BTC,0.995,0.005,holding,
03/26 19:14:59,BTC,0.995,0.005,holding,
03/26 19:25:00,ETH,0.165,0.835,*** BUY NO @ 83.50% ***,
03/26 19:25:08,ETH,0.225,0.775,holding,
03/26 19:25:10,ETH,0.175,0.825,holding,
03/26 19:25:13,ETH,0.175,0.825,holding,
03/26 19:25:16,ETH,0.185,0.815,holding,
03/26 19:25:18,ETH,0.215,0.785,holding,
03/26 19:25:21,ETH,0.235,0.765,holding,
03/26 19:25:23,ETH,0.305,0.695,holding,
03/26 19:25:26,ETH,0.305,0.69,holding,
03/26 19:25:28,ETH,0.26,0.74,holding,
03/26 19:25:30,ETH,0.235,0.77,holding,
03/26 19:25:33,ETH,0.235,0.765,holding,
03/26 19:25:35,ETH,0.235,0.765,holding,
03/26 19:25:38,ETH,0.255,0.745,holding,
03/26 19:25:40,ETH,0.15,0.855,holding,
03/26 19:25:43,ETH,0.115,0.885,holding,
03/26 19:25:46,ETH,0.115,0.885,holding,
03/26 19:25:48,ETH,0.13,0.87,holding,
03/26 19:25:50,ETH,0.14,0.86,holding,
03/26 19:25:53,ETH,0.165,0.835,holding,
03/26 19:25:55,ETH,0.105,0.895,holding,
03/26 19:25:58,ETH,0.125,0.875,holding,
03/26 19:26:00,ETH,0.115,0.885,holding,
03/26 19:26:03,ETH,0.095,0.905,holding,
03/26 19:26:05,ETH,0.115,0.885,holding,
03/26 19:26:08,ETH,0.155,0.845,holding,
03/26 19:26:10,ETH,0.155,0.845,holding,
03/26 19:26:13,ETH,0.145,0.855,holding,
03/26 19:26:15,ETH,0.105,0.895,holding,
03/26 19:26:18,ETH,0.115,0.885,holding,
03/26 19:26:20,ETH,0.085,0.915,holding,
03/26 19:26:29,ETH,0.09,0.91,holding,
03/26 19:26:32,ETH,0.06,0.94,holding,
03/26 19:26:35,ETH,0.05,0.95,holding,
03/26 19:26:37,ETH,0.045,0.955,holding,
03/26 19:26:39,ETH,0.035,0.965,holding,
03/26 19:26:42,ETH,0.045,0.955,holding,
03/26 19:26:45,ETH,0.035,0.965,holding,
03/26 19:26:47,ETH,0.035,0.965,holding,
03/26 19:26:49,ETH,0.035,0.965,holding,
03/26 19:26:52,ETH,0.04,0.96,holding,
03/26 19:26:55,ETH,0.045,0.955,holding,
03/26 19:26:57,ETH,0.045,0.955,holding,
03/26 19:26:59,ETH,0.025,0.975,*** SELL NO @ 97.50% ***,
03/26 19:27:04,ETH,0.025,0.975,holding,
03/26 19:27:07,ETH,0.03,0.97,holding,
03/26 19:27:09,ETH,0.025,0.975,holding,
03/26 19:27:11,ETH,0.02,0.98,holding,
03/26 19:27:14,ETH,0.015,0.985,holding,
03/26 19:27:16,ETH,0.015,0.985,holding,
03/26 19:27:18,ETH,0.015,0.985,holding,
03/26 19:27:21,ETH,0.015,0.985,holding,
03/26 19:27:23,ETH,0.01,0.99,holding,
03/26 19:27:25,ETH,0.005,0.995,holding,
03/26 19:27:28,ETH,0.005,0.995,holding,
03/26 19:27:30,ETH,0.005,0.995,holding,
03/26 19:27:33,ETH,0.005,0.995,holding,
03/26 19:27:35,ETH,0.005,0.995,holding,
03/26 19:27:38,ETH,0.005,0.995,holding,
03/26 19:27:40,ETH,0.005,0.995,holding,
03/26 19:27:43,ETH,0.005,0.995,holding,
03/26 19:27:45,ETH,0.005,0.995,holding,
03/26 19:27:47,ETH,0.005,0.995,holding,
03/26 19:27:50,ETH,0.005,0.995,holding,
03/26 19:27:52,ETH,0.005,0.995,holding,
03/26 19:27:54,ETH,0.005,0.995,holding,
03/26 19:27:57,ETH,0.005,0.995,holding,
03/26 19:27:59,ETH,0.015,0.985,holding,
03/26 19:28:01,ETH,0.025,0.975,holding,
03/26 19:28:04,ETH,0.025,0.975,holding,
03/26 19:28:06,ETH,0.015,0.985,holding,
03/26 19:28:08,ETH,0.025,0.975,holding,
03/26 19:28:11,ETH,0.025,0.975,holding,
03/26 19:28:13,ETH,0.025,0.975,holding,
03/26 19:28:15,ETH,0.025,0.975,holding,
03/26 19:28:17,ETH,0.025,0.975,holding,
03/26 19:28:20,ETH,0.025,0.975,holding,
03/26 19:28:22,ETH,0.025,0.975,holding,
03/26 19:28:25,ETH,0.02,0.98,holding,
03/26 19:28:27,ETH,0.025,0.975,holding,
03/26 19:28:29,ETH,0.02,0.98,holding,
03/26 19:28:32,ETH,0.02,0.98,holding,
03/26 19:28:34,ETH,0.015,0.985,holding,
03/26 19:28:37,ETH,0.015,0.985,holding,
03/26 19:28:39,ETH,0.03,0.97,holding,
03/26 19:28:41,ETH,0.025,0.975,holding,
03/26 19:28:44,ETH,0.035,0.965,holding,
03/26 19:28:46,ETH,0.015,0.985,holding,
03/26 19:28:48,ETH,0.015,0.985,holding,
03/26 19:28:51,ETH,0.015,0.985,holding,
03/26 19:28:53,ETH,0.025,0.975,holding,
03/26 19:28:55,ETH,0.015,0.985,holding,
03/26 19:28:57,ETH,0.025,0.975,holding,
03/26 19:29:00,ETH,0.035,0.965,holding,
03/26 19:29:02,ETH,0.04,0.96,holding,
03/26 19:29:04,ETH,0.035,0.965,holding,
03/26 19:29:07,ETH,0.03,0.97,holding,
03/26 19:29:09,ETH,0.025,0.975,holding,
03/26 19:29:11,ETH,0.025,0.975,holding,
03/26 19:29:13,ETH,0.025,0.975,holding,
03/26 19:29:15,ETH,0.025,0.975,holding,
03/26 19:29:18,ETH,0.015,0.985,holding,
03/26 19:29:20,ETH,0.015,0.985,holding,
03/26 19:29:22,ETH,0.01,0.99,holding,
03/26 19:29:24,ETH,0.01,0.99,holding,
03/26 19:29:27,ETH,0.005,0.995,holding,
03/26 19:29:29,ETH,0.01,0.99,holding,
03/26 19:29:31,ETH,0.005,0.995,holding,
03/26 19:29:33,ETH,0.005,0.995,holding,
03/26 19:29:35,ETH,0.005,0.995,holding,
03/26 19:29:37,ETH,0.005,0.995,holding,
03/26 19:29:40,ETH,0.005,0.995,holding,
03/26 19:29:42,ETH,0.005,0.995,holding,
03/26 19:29:44,ETH,0.005,0.995,holding,
03/26 19:29:46,ETH,0.005,0.995,holding,
03/26 19:29:48,ETH,0.005,0.995,holding,
03/26 19:29:51,ETH,0.005,0.995,holding,
03/26 19:29:53,ETH,0.005,0.995,holding,
03/26 19:29:55,ETH,0.005,0.995,holding,
03/26 19:29:57,ETH,0.005,0.995,holding,
03/26 19:29:59,ETH,0.005,0.995,holding,
03/26 19:40:01,SOL,0.925,0.08,*** S2 BUY NO @ 8.00% ***,
03/26 19:40:08,SOL,0.925,0.075,holding,
03/26 19:40:11,SOL,0.925,0.075,holding,
03/26 19:40:13,SOL,0.905,0.095,holding,
03/26 19:40:16,SOL,0.925,0.075,holding,
03/26 19:40:18,SOL,0.925,0.075,holding,
03/26 19:40:20,SOL,0.925,0.075,holding,
03/26 19:40:23,SOL,0.935,0.065,holding,
03/26 19:40:25,SOL,0.865,0.135,holding,
03/26 19:40:28,SOL,0.875,0.125,holding,
03/26 19:40:30,SOL,0.875,0.125,holding,
03/26 19:40:33,SOL,0.875,0.125,holding,
03/26 19:40:35,SOL,0.895,0.105,holding,
03/26 19:40:37,SOL,0.92,0.08,holding,
03/26 19:40:40,SOL,0.925,0.075,holding,
03/26 19:40:42,SOL,0.935,0.065,holding,
03/26 19:40:45,SOL,0.935,0.065,holding,
03/26 19:40:47,SOL,0.935,0.065,holding,
03/26 19:40:50,SOL,0.935,0.065,holding,
03/26 19:40:52,SOL,0.9,0.1,holding,
03/26 19:40:55,SOL,0.915,0.085,holding,
03/26 19:40:57,SOL,0.935,0.065,holding,
03/26 19:40:59,SOL,0.945,0.055,holding,
03/26 19:41:02,SOL,0.945,0.055,holding,
03/26 19:41:04,SOL,0.945,0.055,holding,
03/26 19:41:06,SOL,0.945,0.055,holding,
03/26 19:41:09,SOL,0.945,0.055,holding,
03/26 19:41:11,SOL,0.945,0.055,holding,
03/26 19:41:13,SOL,0.945,0.055,holding,
03/26 19:41:16,SOL,0.955,0.045,holding,
03/26 19:41:18,SOL,0.955,0.045,holding,
03/26 19:41:20,SOL,0.955,0.045,holding,
03/26 19:41:23,SOL,0.955,0.045,holding,
03/26 19:41:25,SOL,0.955,0.045,holding,
03/26 19:41:27,SOL,0.955,0.045,holding,
03/26 19:41:30,SOL,0.935,0.065,holding,
03/26 19:41:33,SOL,0.935,0.065,holding,
03/26 19:41:35,SOL,0.935,0.065,holding,
03/26 19:41:37,SOL,0.935,0.065,holding,
03/26 19:41:40,SOL,0.945,0.05,holding,
03/26 19:41:42,SOL,0.935,0.065,holding,
03/26 19:41:45,SOL,0.935,0.065,holding,
03/26 19:41:47,SOL,0.935,0.065,holding,
03/26 19:41:50,SOL,0.935,0.065,holding,
03/26 19:41:53,SOL,0.935,0.065,holding,
03/26 19:41:55,SOL,0.935,0.065,holding,
03/26 19:41:58,SOL,0.935,0.065,holding,
03/26 19:42:00,SOL,0.945,0.055,holding,
03/26 19:42:03,SOL,0.955,0.045,holding,
03/26 19:42:06,SOL,0.955,0.045,holding,
03/26 19:42:08,SOL,0.955,0.045,holding,
03/26 19:42:10,SOL,0.955,0.045,holding,
03/26 19:42:13,SOL,0.955,0.045,holding,
03/26 19:42:15,SOL,0.955,0.045,holding,
03/26 19:42:18,SOL,0.955,0.045,holding,
03/26 19:42:20,SOL,0.925,0.075,holding,
03/26 19:42:23,SOL,0.935,0.065,holding,
03/26 19:42:25,SOL,0.94,0.06,holding,
03/26 19:42:27,SOL,0.945,0.055,holding,
03/26 19:42:30,SOL,0.945,0.055,holding,
03/26 19:42:33,SOL,0.945,0.055,holding,
03/26 19:42:35,SOL,0.945,0.055,holding,
03/26 19:42:38,SOL,0.945,0.055,holding,
03/26 19:42:40,SOL,0.945,0.055,holding,
03/26 19:42:43,SOL,0.945,0.055,holding,
03/26 19:42:45,SOL,0.945,0.055,holding,
03/26 19:42:48,SOL,0.945,0.055,holding,
03/26 19:42:50,SOL,0.945,0.055,holding,
03/26 19:42:53,SOL,0.945,0.055,holding,
03/26 19:42:56,SOL,0.945,0.055,holding,
03/26 19:42:58,SOL,0.945,0.055,holding,
03/26 19:43:01,SOL,0.945,0.055,holding,
03/26 19:43:03,SOL,0.945,0.055,holding,
03/26 19:43:05,SOL,0.945,0.055,holding,
03/26 19:43:08,SOL,0.94,0.06,holding,
03/26 19:43:10,SOL,0.95,0.05,holding,
03/26 19:43:13,SOL,0.95,0.05,holding,
03/26 19:43:15,SOL,0.955,0.045,holding,
03/26 19:43:17,SOL,0.955,0.045,holding,
03/26 19:43:20,SOL,0.945,0.055,holding,
03/26 19:43:23,SOL,0.95,0.05,holding,
03/26 19:43:26,SOL,0.955,0.045,holding,
03/26 19:43:28,SOL,0.965,0.035,holding,
03/26 19:43:30,SOL,0.965,0.035,holding,
03/26 19:43:33,SOL,0.965,0.035,holding,
03/26 19:43:35,SOL,0.965,0.035,holding,
03/26 19:43:37,SOL,0.965,0.035,holding,
03/26 19:43:40,SOL,0.965,0.035,holding,
03/26 19:43:43,SOL,0.975,0.025,holding,
03/26 19:43:45,SOL,0.975,0.025,holding,
03/26 19:43:48,SOL,0.975,0.025,holding,
03/26 19:43:50,SOL,0.975,0.025,holding,
03/26 19:43:53,SOL,0.975,0.025,holding,
03/26 19:43:55,SOL,0.975,0.025,holding,
03/26 19:43:57,SOL,0.975,0.025,holding,
03/26 19:43:59,SOL,0.925,0.075,holding,
03/26 19:44:02,SOL,0.95,0.05,holding,
03/26 19:44:05,SOL,0.94,0.06,holding,
03/26 19:44:07,SOL,0.94,0.06,holding,
03/26 19:44:10,SOL,0.965,0.035,holding,
03/26 19:44:12,SOL,0.965,0.035,holding,
03/26 19:44:14,SOL,0.965,0.035,holding,
03/26 19:44:17,SOL,0.74,0.26,*** S2 TP1 NO @ 26.00% ***,
03/26 19:44:17,SOL,0.74,0.25,holding,
03/26 19:44:19,SOL,0.755,0.245,holding,
03/26 19:44:22,SOL,0.745,0.255,holding,
03/26 19:44:24,SOL,0.75,0.25,holding,
03/26 19:44:26,SOL,0.755,0.245,holding,
03/26 19:44:29,SOL,0.775,0.23,holding,
03/26 19:44:31,SOL,0.865,0.135,holding,
03/26 19:44:33,SOL,0.865,0.135,holding,
03/26 19:44:36,SOL,0.915,0.085,holding,
03/26 19:44:38,SOL,0.925,0.075,holding,
03/26 19:44:40,SOL,0.93,0.07,holding,
03/26 19:44:43,SOL,0.945,0.055,holding,
03/26 19:44:46,SOL,0.955,0.045,holding,
03/26 19:44:48,SOL,0.95,0.05,holding,
03/26 19:44:50,SOL,0.97,0.03,holding,
03/26 19:44:53,SOL,0.98,0.02,holding,
03/26 19:44:55,SOL,0.965,0.035,holding,
03/26 19:44:58,SOL,0.995,0.005,holding,
03/26 19:56:29,ETH,0.195,0.81,*** BUY NO @ 81.00% ***,
03/26 19:56:34,ETH,0.175,0.825,holding,
03/26 19:56:36,ETH,0.185,0.815,holding,
03/26 19:56:38,ETH,0.165,0.835,holding,
03/26 19:56:40,ETH,0.185,0.815,holding,
03/26 19:56:43,ETH,0.165,0.835,holding,
03/26 19:56:45,ETH,0.165,0.835,holding,
03/26 19:56:47,ETH,0.165,0.835,holding,
03/26 19:56:49,ETH,0.155,0.845,holding,
03/26 19:56:51,ETH,0.205,0.795,holding,
03/26 19:56:54,ETH,0.22,0.78,holding,
03/26 19:56:56,ETH,0.185,0.815,holding,
03/26 19:56:58,ETH,0.155,0.845,holding,
03/26 19:57:00,ETH,0.155,0.845,holding,
03/26 19:57:03,ETH,0.155,0.845,holding,
03/26 19:57:05,ETH,0.105,0.895,holding,
03/26 19:57:07,ETH,0.125,0.875,holding,
03/26 19:57:10,ETH,0.13,0.87,holding,
03/26 19:57:12,ETH,0.125,0.875,holding,
03/26 19:57:14,ETH,0.125,0.875,holding,
03/26 19:57:16,ETH,0.105,0.895,holding,
03/26 19:57:19,ETH,0.105,0.895,holding,
03/26 19:57:21,ETH,0.115,0.885,holding,
03/26 19:57:23,ETH,0.085,0.915,holding,
03/26 19:57:25,ETH,0.11,0.89,holding,
03/26 19:57:27,ETH,0.095,0.905,holding,
03/26 19:57:29,ETH,0.055,0.945,holding,
03/26 19:57:32,ETH,0.045,0.955,holding,
03/26 19:57:34,ETH,0.045,0.955,holding,
03/26 19:57:36,ETH,0.045,0.955,holding,
03/26 19:57:38,ETH,0.045,0.955,holding,
03/26 19:57:41,ETH,0.045,0.955,holding,
03/26 19:57:43,ETH,0.025,0.975,*** SELL NO @ 97.50% ***,
03/26 19:57:45,ETH,0.025,0.975,holding,
03/26 19:57:47,ETH,0.025,0.975,holding,
03/26 19:57:49,ETH,0.015,0.985,holding,
03/26 19:57:51,ETH,0.015,0.985,holding,
03/26 19:57:53,ETH,0.015,0.985,holding,
03/26 19:57:56,ETH,0.015,0.985,holding,
03/26 19:57:58,ETH,0.015,0.985,holding,
03/26 19:58:00,ETH,0.015,0.985,holding,
03/26 19:58:02,ETH,0.015,0.985,holding,
03/26 19:58:04,ETH,0.015,0.985,holding,
03/26 19:58:06,ETH,0.015,0.985,holding,
03/26 19:58:08,ETH,0.015,0.985,holding,
03/26 19:58:10,ETH,0.015,0.985,holding,
03/26 19:58:13,ETH,0.015,0.985,holding,
03/26 19:58:15,ETH,0.015,0.985,holding,
03/26 19:58:17,ETH,0.015,0.985,holding,
03/26 19:58:19,ETH,0.015,0.985,holding,
03/26 19:58:21,ETH,0.015,0.985,holding,
03/26 19:58:23,ETH,0.015,0.985,holding,
03/26 19:58:25,ETH,0.015,0.985,holding,
03/26 19:58:27,ETH,0.005,0.995,holding,
03/26 19:58:29,ETH,0.005,0.995,holding,
03/26 19:58:31,ETH,0.005,0.995,holding,
03/26 19:58:34,ETH,0.005,0.995,holding,
03/26 19:58:36,ETH,0.005,0.995,holding,
03/26 19:58:38,ETH,0.005,0.995,holding,
03/26 19:58:40,ETH,0.005,0.995,holding,
03/26 19:58:42,ETH,0.005,0.995,holding,
03/26 19:58:44,ETH,0.005,0.995,holding,
03/26 19:58:46,ETH,0.005,0.995,holding,
03/26 19:58:48,ETH,0.005,0.995,holding,
03/26 19:58:50,ETH,0.005,0.995,holding,
03/26 19:58:53,ETH,0.005,0.995,holding,
03/26 19:58:55,ETH,0.005,0.995,holding,
03/26 19:58:57,ETH,0.005,0.995,holding,
03/26 19:58:59,ETH,0.005,0.995,holding,
03/26 19:59:01,ETH,0.005,0.995,holding,
03/26 19:59:03,ETH,0.005,0.995,holding,
03/26 19:59:05,ETH,0.005,0.995,holding,
03/26 19:59:07,ETH,0.005,0.995,holding,
03/26 19:59:09,ETH,0.005,0.995,holding,
03/26 19:59:11,ETH,0.005,0.995,holding,
03/26 19:59:14,ETH,0.005,0.995,holding,
03/26 19:59:16,ETH,0.005,0.995,holding,
03/26 19:59:18,ETH,0.005,0.995,holding,
03/26 19:59:20,ETH,0.005,0.995,holding,
03/26 19:59:23,ETH,0.005,0.995,holding,
03/26 19:59:25,ETH,0.005,0.995,holding,
03/26 19:59:27,ETH,0.005,0.995,holding,
03/26 19:59:29,ETH,0.005,0.995,holding,
03/26 19:59:31,ETH,0.005,0.995,holding,
03/26 19:59:33,ETH,0.005,0.995,holding,
03/26 19:59:35,ETH,0.005,0.995,holding,
03/26 19:59:37,ETH,0.005,0.995,holding,
03/26 19:59:39,ETH,0.005,0.995,holding,
03/26 19:59:41,ETH,0.005,0.995,holding,
03/26 19:59:43,ETH,0.005,0.995,holding,
03/26 19:59:45,ETH,0.005,0.995,holding,
03/26 19:59:48,ETH,0.005,0.995,holding,
03/26 19:59:50,ETH,0.005,0.995,holding,
03/26 19:59:52,ETH,0.005,0.995,holding,
03/26 19:59:54,ETH,0.005,0.995,holding,
03/26 19:59:56,ETH,0.005,0.995,holding,
03/26 19:59:58,ETH,0.005,0.995,holding,
03/26 20:10:21,XRP,0.8,0.2,*** BUY YES @ 80.00% ***,
03/26 20:10:27,XRP,0.82,0.18,holding,
03/26 20:10:30,XRP,0.83,0.17,holding,
03/26 20:10:32,XRP,0.865,0.135,holding,
03/26 20:10:34,XRP,0.87,0.13,holding,
03/26 20:10:37,XRP,0.905,0.105,holding,
03/26 20:10:39,XRP,0.91,0.09,holding,
03/26 20:10:41,XRP,0.91,0.09,holding,
03/26 20:10:44,XRP,0.91,0.09,holding,
03/26 20:10:46,XRP,0.915,0.085,holding,
03/26 20:10:49,XRP,0.915,0.085,holding,
03/26 20:10:51,XRP,0.895,0.105,holding,
03/26 20:10:53,XRP,0.895,0.105,holding,
03/26 20:10:55,XRP,0.895,0.105,holding,
03/26 20:10:58,XRP,0.895,0.105,holding,
03/26 20:11:00,XRP,0.925,0.075,holding,
03/26 20:11:03,XRP,0.945,0.055,holding,
03/26 20:11:05,XRP,0.955,0.045,holding,
03/26 20:11:08,XRP,0.975,0.025,*** SELL YES @ 97.50% ***,
03/26 20:11:12,XRP,0.96,0.04,holding,
03/26 20:11:14,XRP,0.965,0.035,holding,
03/26 20:11:16,XRP,0.96,0.04,holding,
03/26 20:11:19,XRP,0.965,0.035,holding,
03/26 20:11:21,XRP,0.97,0.03,holding,
03/26 20:11:23,XRP,0.97,0.03,holding,
03/26 20:11:25,XRP,0.975,0.025,holding,
03/26 20:11:27,XRP,0.97,0.03,holding,
03/26 20:11:30,XRP,0.97,0.03,holding,
03/26 20:11:32,XRP,0.975,0.025,holding,
03/26 20:11:35,XRP,0.975,0.025,holding,
03/26 20:11:37,XRP,0.975,0.025,holding,
03/26 20:11:39,XRP,0.975,0.025,holding,
03/26 20:11:41,XRP,0.975,0.025,holding,
03/26 20:11:43,XRP,0.975,0.025,holding,
03/26 20:11:46,XRP,0.975,0.025,holding,
03/26 20:11:48,XRP,0.975,0.025,holding,
03/26 20:11:50,XRP,0.975,0.025,holding,
03/26 20:11:47,SOL,0.815,0.185,*** BUY YES @ 81.50% ***,
03/26 20:11:53,SOL,0.77,0.23,holding,
03/26 20:11:55,SOL,0.785,0.215,holding,
03/26 20:11:58,SOL,0.785,0.215,holding,
03/26 20:12:00,SOL,0.775,0.215,holding,
03/26 20:12:03,SOL,0.825,0.175,holding,
03/26 20:12:06,SOL,0.785,0.215,holding,
03/26 20:12:08,SOL,0.795,0.205,holding,
03/26 20:12:10,SOL,0.8,0.2,holding,
03/26 20:12:13,SOL,0.795,0.205,holding,
03/26 20:12:15,SOL,0.805,0.195,holding,
03/26 20:12:18,SOL,0.815,0.185,holding,
03/26 20:12:20,SOL,0.835,0.165,holding,
03/26 20:12:22,SOL,0.8,0.2,holding,
03/26 20:12:25,SOL,0.775,0.225,holding,
